head,relation,tail
角色_X教授,relation_出现,作品_《X战警》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警》,rdfsyntaxnstype,作品
角色_X教授,relation_朋友,角色_万磁王
角色_X教授,rdfsyntaxnstype,角色
角色_万磁王,rdfsyntaxnstype,角色
角色_万磁王,relation_属于,物种_变种人
角色_万磁王,rdfsyntaxnstype,角色
物种_变种人,rdfsyntaxnstype,物种
角色_X教授,relation_属于,物种_变种人
角色_X教授,rdfsyntaxnstype,角色
物种_变种人,rdfsyntaxnstype,物种
角色_X教授,relation_创立,机构_X学院
角色_X教授,rdfsyntaxnstype,角色
机构_X学院,rdfsyntaxnstype,机构
角色_X教授,relation_属于,机构_X学院
角色_X教授,rdfsyntaxnstype,角色
机构_X学院,rdfsyntaxnstype,机构
角色_X教授,relation_领导,团队_X战警
角色_X教授,rdfsyntaxnstype,角色
团队_X战警,rdfsyntaxnstype,团队
角色_X教授,relation_属于,团队_X战警
角色_X教授,rdfsyntaxnstype,角色
团队_X战警,rdfsyntaxnstype,团队
角色_X教授,relation_影射,原型_马丁·路德·金
角色_X教授,rdfsyntaxnstype,角色
原型_马丁·路德·金,rdfsyntaxnstype,原型
角色_X教授,relation_影射,原型_麦尔坎·X
角色_X教授,rdfsyntaxnstype,角色
原型_麦尔坎·X,rdfsyntaxnstype,原型
角色_X教授,relation_拥有,能力_强大的心灵能力
角色_X教授,rdfsyntaxnstype,角色
能力_强大的心灵能力,rdfsyntaxnstype,能力
角色_X教授,relation_拥有,能力_阅读他人的思维、记忆
角色_X教授,rdfsyntaxnstype,角色
能力_阅读他人的思维、记忆,rdfsyntaxnstype,能力
角色_X教授,relation_拥有,能力_夺并控制他人的思维
角色_X教授,rdfsyntaxnstype,角色
能力_夺并控制他人的思维,rdfsyntaxnstype,能力
角色_X教授,relation_拥有,能力_操纵他人的行动
角色_X教授,rdfsyntaxnstype,角色
能力_操纵他人的行动,rdfsyntaxnstype,能力
角色_万磁王,relation_制造,装备_脑波强化机
角色_万磁王,rdfsyntaxnstype,角色
装备_脑波强化机,rdfsyntaxnstype,装备
角色_X教授,relation_持有,装备_脑波强化机
角色_X教授,rdfsyntaxnstype,角色
装备_脑波强化机,rdfsyntaxnstype,装备
角色_X教授,relation_去过,地点_X战警基地
角色_X教授,rdfsyntaxnstype,角色
地点_X战警基地,rdfsyntaxnstype,地点
角色_万磁王,relation_去过,地点_X战警基地
角色_万磁王,rdfsyntaxnstype,角色
地点_X战警基地,rdfsyntaxnstype,地点
角色_X教授,relation_拥有,能力_连结上世界上任何一个人
角色_X教授,rdfsyntaxnstype,角色
能力_连结上世界上任何一个人,rdfsyntaxnstype,能力
角色_X教授,relation_出现,作品_《X战警》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警2》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警2》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警：最后战役》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警：最后战役》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警：金钢狼》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警：金钢狼》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警：第一战》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警：第一战》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《金钢狼：武士之战》
角色_X教授,rdfsyntaxnstype,角色
作品_《金钢狼：武士之战》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警：未来昔日》
