id,head,rel,tail,confidence,sentence,time,subject,paper_id
290800,participants,find,patterns,0.9052256377408016,The participants' responses were coded to find patterns and triangulated using the review of records,2019,Biology_Sociology,5346.0
290801,system,avail,services,0.9111779447320654,The health system should avail services recommended by the,2019,Biology_Sociology,30009.0
290802,users,advocate,innovation,0.8942434158739456,"guideline while strengthening social support, and shorter stay in MWH so that users advocate the innovation",2019,Biology_Sociology,30009.0
290803,multiple countries,witness,epidemics,0.943298909360718,"During the last few decades, multiple countries have witnessed multiple disease epidemics",2019,Biology_Sociology,51674.0
290806,executive,exit,firm,0.8168011096700715,We examine the effect of different types of shock on the likelihood a top executive will exit their firm,2019,Biology_Sociology,162897.0
290807,linear,meet,determination,0.9524528620888548,"The linear range of the five COPs met the requirement of determination, and the average recoveries of the five COPs spiked in the pork samples at three levels were 61",2019,Biology_Sociology,166462.0
290810,consumers,demand,hygienic,0.9030401971054748,The consumers demand safe and hygienic products without contamination with pathogenic microorganisms when the production and consumption of poultry meat is gradually increasing,2019,Biology_Sociology,206917.0
290812,studies,serve,editors,0.8817598924294554,"We hope that both studies serve as a wake-up call to population geneticists, reviewers, and editors to be rigorous about consistently correcting for FWER inflation",2019,Biology_Sociology,209784.0
290813,abolition,lead,access,0.8876082651439079,"Proponents argue that abolition of charges would lead to greater access for the poor, therefore offering the underserved the opportunity to access health services",2019,Biology_Sociology,242988.0
290818,neoliberalism,use,indexes,0.9256263201643982,Regression analysis provides little support for the neoliberalism-homicide hypothesis using the global indexes,2019,Biology_Sociology,349404.0
290819,cases,report,lineage,0.9030401971054748,Familial cases have been reported in lineage studies and consanguinity has been found to be a characteristic finding in all these reports,2019,Biology_Sociology,361841.0
290820,Additional benefit,include,issues,0.9250606141558616,"Additional benefit intricacies include how quickly CB realize, co-existence and co-occurrence of CB, complications related to application of CB, and ethical and moral issues related to CB",2019,Biology_Sociology,369700.0
290823,prison,associate,positivity,0.9569540688419964,"For Indigenous prison entrants, first time in prison and survey year was associated with anti-HBc positivity",2019,Biology_Sociology,430549.0
290824,public health,require,policies,0.9447859551527592,"Implications for public health: In developing public health programs and policies for HBV, consideration of similarities and differences of associated HBV risk factors between Indigenous and non-Indigenous offenders is required",2019,Biology_Sociology,430549.0
290831,measures,exacerbate,health inequities,0.7893504682314367,Current criminalization measures may exacerbate health inequities among im/migrant sex workers,2019,Biology_Sociology,645577.0
290832,case study,conduct,explore,0.9527929801573144,In 2014 an in-depth case study was conducted to explore the project,2019,Biology_Sociology,658768.0
290837,guidance,not be,consideration,0.913444597172546,The Federal Sentencing Guidelines expressly state that lack of guidance as a youth should not be a mitigating sentencing consideration,2019,Biology_Sociology,799772.0
290842,injuries,exceed,threshold,0.8942434158739456,One possible reason is that the pattern of injuries exceeding a certain severity threshold is not easily recognizable in the field,2019,Biology_Sociology,948394.0
290845,authors,use multiple linear regression analysis test,hypotheses,0.8776011732811596,The authors used multiple linear regression analysis to test the hypotheses,2019,Biology_Sociology,1055430.0
290846,Participants,reflect,health service,0.8942434158739456,"Participants reflected on changes in population health status and health service delivery during the Syrian crisis, notably with respect to the influx of refugees from Syria",2019,Biology_Sociology,1072867.0
290850,years,fall,year,0.9519143416197944,"Around 30% of people over 65 years will fall at least once a year in the UK, whereas 50% of people over 80 years will fall annually (NICE 2013)",2019,Biology_Sociology,1095552.0
